NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra
RP2367,CONECTOR ORFS 3/8 90°, 11.000 ,UNIDAD,REPUESTOS,06/06/2019, 19.210 ,USD
RP2368,CONECTOR HEMBRA JIC 3/8 0°, 36.000 ,UNIDAD,REPUESTOS,06/06/2019, 4.730 ,USD
RP237,JUNTA ESPIROMETALICA 3 Pulgadas ANSI #300 MOD 9584GA, 9.000 ,UNIDAD,REPUESTOS,07/12/2023, 172.720 ,COR
RP2370,CONECTOR JIC 1/2 90°, 18.000 ,UNIDAD,REPUESTOS,06/06/2019, 13.610 ,USD
RP2371,CONECTOR HEMBRA JIC 1/4 0°, 20.000 ,UNIDAD,REPUESTOS,25/09/2021, 5.918 ,USD
RP2372,CONECTOR HEMBRA JIC 5/8 0°, 20.000 ,UNIDAD,REPUESTOS,06/06/2019, 12.200 ,USD
RP2374,DISCO DE EMBRAGUE 31250-0K320, 1.000 ,UNIDAD,REPUESTOS,19/01/2021, 6.260 ,USD
RP2379,ESTRIBOS DELANTEROS 3/4*10, 8.000 ,UNIDAD,REPUESTOS,17/02/2022, 390.350 ,COR
RP238,TERMOMETRO BIMETALICO 5 Pulgadas, 1.000 ,UNIDAD,REPUESTOS,23/06/2023, 59.093 ,USD
RP2389,FILTRO HIDRAULICO POWER P550487, 3.000 ,UNIDAD,REPUESTOS,11/06/2019, 405.980 ,COR
RP239,VALVULA CHECK BR PIE VERTICAL 3 Pulgadas, 1.000 ,UNIDAD,REPUESTOS,08/10/2020," 1,010.000 ",COR
RP2391,BALINERA EXT YR 90366-55054, 5.000 ,UNIDAD,REPUESTOS,28/07/2022, 59.790 ,USD
RP2393,ROTOR DE TURBINA DE VAPOR, 1.000 ,UNIDAD,REPUESTOS,20/06/2019," 145,193.940 ",COR
RP2404,TEE 5/8 ESPECIAL PARA TUBERIA, 6.000 ,UNIDAD,REPUESTOS,26/07/2019, 70.180 ,USD
RP2408,FRESA VERTICAL 1/2 PulgadasHSS, 3.000 ,UNIDAD,REPUESTOS,17/12/2025," 1,590.000 ",COR
RP241,FILTRO DE COMBUSTIBLE 1R-1804, 4.000 ,UNIDAD,REPUESTOS,13/08/2025," 1,155.890 ",COR
RP2411,CILINDRO HIDRAULICO, 3.000 ,UNIDAD,REPUESTOS,26/08/2023, 95.742 ,COR
RP242,FILTRO DE ACEITE 7W-2327/2326, 3.000 ,UNIDAD,REPUESTOS,13/08/2025, 839.490 ,COR
RP2420,ARANDELA 30570, 4.000 ,UNIDAD,REPUESTOS,05/07/2019, 33.000 ,COR
RP2421,SATELITES 233-J-1024, 4.000 ,UNIDAD,REPUESTOS,05/07/2019, 350.000 ,COR
RP2422,CRUZ DE SATELIYE 3278-305, 1.000 ,UNIDAD,REPUESTOS,05/07/2019, 700.000 ,COR
RP2424,VACUOMETRO DE 1/2, 2.000 ,UNIDAD,REPUESTOS,10/07/2019, 19.800 ,USD
RP243,FILTRO DE AIRE 915-671, 3.000 ,UNIDAD,REPUESTOS,02/02/2024, 48.980 ,USD
RP2432,ADAPTADOR 1/2 NPT-JIC, 40.000 ,UNIDAD,REPUESTOS,12/01/2023, 2.430 ,USD
RP2433,INSERTO JIC 1/2, 17.000 ,UNIDAD,REPUESTOS,13/07/2019, 6.340 ,USD
RP2434,CAMISA ROSCABLE 1/2, 18.000 ,UNIDAD,REPUESTOS,13/07/2019, 8.760 ,USD
RP2435,INSERTO CNMX 452, 10.000 ,UNIDAD,REPUESTOS,24/09/2025, 516.000 ,COR
RP2436,ELEMENTO DE FILTRO DE RETORNO A UNIDADES EATON CD-RTE25, 5.000 ,UNIDAD,REPUESTOS,02/02/2021, 106.910 ,USD
RP2441,CANFIELD CONNECTOR, 6.000 ,UNIDAD,REPUESTOS,08/07/2020, 18.080 ,USD
RP2442,ELEMENTO DE FILTRO SCHROEDER, 2.000 ,UNIDAD,REPUESTOS,30/12/2019, 109.350 ,USD
RP2443,REDUCTOR BUSHING 3 PulgadasX2 Pulgadas, 1.000 ,UNIDAD,REPUESTOS,13/07/2019, 3.800 ,USD
RP2444,BALINERA SKF 22224, 5.000 ,UNIDAD,REPUESTOS,27/08/2025," 16,868.670 ",COR
RP2445,BALINERA 30309, 2.000 ,UNIDAD,REPUESTOS,25/08/2023, 28.025 ,USD
RP2454,CORREA DE ALTERNADOR 90916-T2006, 3.000 ,UNIDAD,REPUESTOS,19/01/2021, 90.400 ,USD
RP2455,SOPORTE DE MOTOR TRASERO 12371-0L081, 1.000 ,UNIDAD,REPUESTOS,13/07/2019, 86.700 ,USD
RP2458,SELLO EXTERIOR DE EJE TRASERO 90313-T0002, 1.000 ,UNIDAD,REPUESTOS,21/07/2022, 12.575 ,USD
RP2459,RETENEDOR INTERIOR DE EJE TRASERO 42423-71010, 2.000 ,UNIDAD,REPUESTOS,13/07/2019, 13.160 ,USD
RP2465,FILTRO DE AIRE 17801-0L040, 1.000 ,UNIDAD,REPUESTOS,06/08/2025, 474.810 ,COR
RP2469,ACERO SOLIDO 1X49 CM, 27.400 ,UNIDAD,REPUESTOS,18/07/2019, 255.000 ,COR
RP2470,ACERO SOLIDO 3/4X49 CM, 1.000 ,UNIDAD,REPUESTOS,25/05/2020, 219.700 ,COR
RP2471,BOMBA COMBUSTIBLE, 1.000 ,UNIDAD,REPUESTOS,18/07/2019, 690.000 ,COR
RP2478,MANGUERA 38MMX2FT, 2.000 ,UNIDAD,REPUESTOS,25/07/2019," 6,453.210 ",COR
RP2479,MANGUERA 51MMX2FT, 3.000 ,UNIDAD,REPUESTOS,25/07/2019," 7,645.030 ",COR
RP2483,FILTRO ACEITE P502060, 3.000 ,UNIDAD,REPUESTOS,18/05/2023, 15.990 ,USD
RP2491,MEDIDOR Br 1 Pulgadas, 1.000 ,UNIDAD,REPUESTOS,26/07/2019," 2,100.000 ",COR
RP2500,MANOMETRO DE 6 Pulgadas 0.30 NPT, 2.000 ,UNIDAD,REPUESTOS,23/10/2019," 8,590.310 ",COR
RP2501,BANDA B71 LISA, 3.000 ,UNIDAD,REPUESTOS,08/08/2019, 189.020 ,COR
RP2503,BANDA B130 LISA, 7.000 ,UNIDAD,REPUESTOS,01/09/2020, 648.000 ,COR
RP2511,EJE DE REFACCION PARA EQUIPO DE TRANSPORTADOR 90X1300MM, 1.000 ,UNIDAD,REPUESTOS,09/08/2019," 20,527.000 ",COR
RP2514,ANILLO RECTANGULAR 19060300, 2.000 ,UNIDAD,REPUESTOS,09/08/2019, 128.870 ,COR
RP2515,ANILLO RECTANGULAR 19060400, 4.000 ,UNIDAD,REPUESTOS,09/08/2019, 127.040 ,COR
RP2517,TORNILLO 22172617, 6.000 ,UNIDAD,REPUESTOS,09/08/2019, 249.080 ,COR
RP2518,PIN 6796000, 3.000 ,UNIDAD,REPUESTOS,09/08/2019, 36.520 ,COR
RP2521,CONJUNTO DE PIE DE FUNDICION 54954102, 1.000 ,UNIDAD,REPUESTOS,09/08/2019," 58,181.740 ",COR
RP2522,TORNILLO 6119402166, 13.000 ,UNIDAD,REPUESTOS,09/08/2019, 249.080 ,COR
RP2523,TORNILLO DE HOMBROS M10X012X30SWE, 8.000 ,UNIDAD,REPUESTOS,09/08/2019," 2,635.720 ",COR
